Key,English,French,German,Spanish,Italian,Korean,Polish,Russian,Chinese
Access Levels,Access Levels,Niveaux d’accès,Zugriffsebenen,Niveles de acceso,Livelli di accesso,??? ??,Poziomy dost?pu,?????? ???????,????
Account,Account,Compte,Konto,Cuenta,Conto,??,Rachunek,????,??
Account Expiration,Account Expiration,Expiration du compte,Ablauf des Kontos,Vencimiento de la cuenta,Scadenza dell'account,?? ??,Wyga?ni?cie konta,???? ???????? ??????? ??????,????
Account is disabled.,Account is disabled.,Le compte est désactivé.,Das Konto ist deaktiviert.,La cuenta está deshabilitada.,L'account è disabilitato.,??? ??? ? ????.,Konto jest wy??czone.,??????? ?????? ?????????.,??????
Account is enabled.,Account is enabled.,Le compte est activé.,Konto ist aktiviert.,La cuenta está habilitada.,L'account è abilitato.,??? ??? ? ????.,Konto jest w??czone.,??????? ?????? ????????.,??????
Account is locked out.,Account is locked out.,Le compte est verrouillé.,Das Konto ist gesperrt.,La cuenta está bloqueada.,L'account è bloccato.,??? ?? ????.,Konto jest zablokowane.,??????? ????????????.,??????
Account is not locked out.,Account is not locked out.,Le compte n’est pas verrouillé.,Das Konto ist nicht gesperrt.,La cuenta no está bloqueada.,L'account non è bloccato.,??? ?? ?? ????.,Konto nie jest zablokowane.,??????? ?? ????????????.,???????
Account Name,Account Name,Nom de compte,Kontenbezeichnung,Nombre de la cuenta,Nome account,?? ??,Nazwa konta,??? ??????? ??????,????
Active Directory,Active Directory,Active Directory,Active Directory,Active Directory,Active Directory,??? ????,Active Directory,Active Directory,????
Active Directory is not available!,Active Directory is not available!,Active Directory n’est pas disponible!,Active Directory ist nicht verfügbar!,Active Directory no está disponible.,Active Directory non è disponibile!,Active Directory? ??? ? ????!,Us?uga Active Directory jest niedost?pna!,Active Directory ??????????!,????????
Active Directory Settings,Active Directory Settings,Paramètres Active Directory,Active Directory-Einstellungen,Configuración de Active Directory,Impostazioni di Active Directory,Active Directory ??,Ustawienia us?ugi Active Directory,????????? Active Directory,??????
Add New Access Level,Add New Access Level,Ajouter un nouveau niveau d’accès,Neue Zugriffsebene hinzufügen,Agregar nuevo nivel de acceso,Aggiungi nuovo livello di accesso,? ??? ?? ??,Dodaj nowy poziom dost?pu,???????? ????? ??????? ???????,??????????
Additonal Fields,Additonal Fields,Champs supplémentaires,Zusätzliche Felder,Campos adicionales,Campi aggiuntivi,Additonal ??,Pola dodatkowe,?????????????? ????,????
Admin bcc,Admin bcc,Admin bcc,Admin bcc,Admin bcc,Admin bcc,??? ?? ??,Admin bcc,????????????? ??????? ?????,???????
Admin Password,Admin Password,Mot de passe administrateur,Admin-Passwort,Contraseña de administrador,Password amministratore,??? ??,Has?o administratora,?????? ??????????????,?????
All,All,Tout,Alle,Todo,Tutto,??,Ca?y,???,?
Allow,Allow,Permettre,Erlauben,Conceder,Permettere,????,Pozwoli?,?????????,??
Allow Auto Update,Allow Auto Update,Autoriser la mise à jour automatique,Automatische Aktualisierung zulassen,Permitir actualización automática,Consenti aggiornamento automatico,?? ???? ??,Zezwalaj na automatyczn? aktualizacj?,????????? ?????????????? ??????????,??????
Allow Disabled User Access,Allow Disabled User Access,Autoriser l’accès aux utilisateurs désactivés,Behindertenzugriff zulassen,Permitir el acceso de usuarios deshabilitados,Consenti accesso utente disabilitato,????? ??? ??? ??,Zezwalaj na dost?p dla u?ytkowników niepe?nosprawnych,????????? ?????? ??????????? ?????????????,?????????
Application,Application,Application,Anwendung,Aplicación,Applicazione,??,Aplikacja,??????????,??
Application Name,Application Name,Nom de l’application,Name der Anwendung,Nombre de la aplicación,Nome dell'applicazione,?? ???? ??,Nazwa aplikacji,??? ??????????,??????
Application Settings,Application Settings,Paramètres de l’application,Anwendungseinstellungen,Configuración de la aplicación,Impostazioni dell'applicazione,?? ???? ??,Ustawienia aplikacji,????????? ??????????,??????
ApplicationStarting,Application is starting up... please wait...,L’application démarre…,Die Anwendung startet... Bitte warten...,La aplicación se está iniciando... Espera...,L'applicazione si sta avviando... Attendere prego...,?? ????? ????? ... ?????...,Aplikacja uruchamia si?... Czekaj...,?????????? ???????????... ?????????...,????????...??????
Assign Objects,Assign Objects,Attribuer des objets,Zuweisen von Objekten,Asignar objetos,Assegna oggetti,?? ??,Przypisywanie obiektów,?????????? ????????,????
Assign To,Assign To,Attribuer à,Zuweisen zu,Asignar a,Assegna a,?? ??,Przypisz do,?????????,???
Attempting to connect to Active Directory.,Attempting to connect to Active Directory.,Tentative de connexion à Active Directory.,"Es wird versucht, eine Verbindung mit Active Directory herzustellen.",Intentando conectarse a Active Directory.,Tentativo di connessione ad Active Directory.,Active Directory? ??? ???? ????.,Próba nawi?zania po??czenia z us?ug? Active Directory.,??????? ??????????? ? Active Directory.,????????????
Audit,Audit,Audit,Rechnungsprüfung,Auditoría,Revisione,??,Audyt,???????,??
Authentication,Authentication,Authentification,Authentifizierung,Autenticación,Autenticazione,??,Uwierzytelnianie,??????????????,??
Authentication Settings,Authentication Settings,Paramètres d’authentification,Authentifizierungseinstellungen,Configuración de autenticación,Impostazioni di autenticazione,?? ??,Ustawienia uwierzytelniania,????????? ???????? ???????????,??????
Auto Update Time,Auto Update Time,Temps de mise à jour automatique,Automatische Aktualisierungszeit,Tiempo de actualización automática,Tempo di aggiornamento automatico,?? ???? ??,Czas automatycznej aktualizacji,????? ??????????????? ??????????,??????
Base DN,Base DN,DN de base,Basis-DN,Base DN,Base DN,?? DN,Podstawowa nazwa wyró?niaj?ca,??????? DN,?? DN
BaseDN,Base DN,DN de base,Basis-DN,Base DN,Base DN,?? DN,Podstawowa nazwa wyró?niaj?ca,??????? DN,?? DN
Branding Icon,Branding Icon,Icône de marque,Branding-Symbol,Icono de marca,Icona di branding,??? ???,Ikona marki,?????? ?????????,????
Change Password,Change Password,Changer le mot de passe,Passwort ändern,Cambiar contraseña,Cambia password,???? ??,Zmie? has?o,????? ??????,????
Choose or Search...,Choose or Search...,Choisir ou rechercher…,Wählen oder Suchen...,Elegir o buscar...,Scegli o Cerca...,?? ?? ??...,Wybierz lub wyszukaj...,???????? ??? ???????...,?????...
City,City,Ville,Stadt,Ciudad,Città,??,Miasto,?????,??
Company,Company,Société,Firma,Compañía,Società,??,Firma,????????,??
Computer,Computer,Ordinateur,Computer,Ordenador,Computer,???,Komputer,?????????,???
Configure,Configure,Configurer,Konfigurieren,Configurar,Configurare,??,Konfigurowa?,?????????,??
Confirm Password,Confirm Password,Mot de passe de confirmation,Passwort bestätigen,Confirmar contraseña,Conferma password,???? ??,Potwierd? has?o,??????????? ??????,????
Contact Info,Contact Info,Coordonnées,Kontaktdaten,Información de contacto,Informazioni di contatto,??? ??,Informacje kontaktowe,?????????? ??????????,????
Create,Create,Créer,Schaffen,Crear,Creare,????,Tworzy?,?????????,??
Create Group,Create Group,Créer un groupe,Gruppe erstellen,Crear grupo,Crea gruppo,?? ???,Utwórz grup?,??????? ??????,???
Create New Delegation Target,Create New Delegation Target,Créer une nouvelle cible de délégation,Neues Delegierungsziel erstellen,Crear nuevo destino de delegación,Crea nuova destinazione di delega,? ?? ?? ???,Utwórz nowy cel delegowania,???????? ?????? ???????? ??????? ?????????????,????????
Create OU,Create OU,Créer une OU,Erstellen einer Organisationseinheit,Crear unidad organizativa,Creare un'unità organizzativa,OU ???,Tworzenie jednostki organizacyjnej,???????? ?????????????,?? OU
Create User,Create User,Créer un utilisateur,Benutzer erstellen,Crear usuario,Crea utente,??? ???,Utwórz u?ytkownika,??????? ????????????,????
Custom Login,Custom Login,Connexion personnalisée,Benutzerdefiniertes Login,Inicio de sesión personalizado,Login personalizzato,??? ?? ???,Niestandardowe logowanie,???????????????? ????,?????
Database server is not reachable!,Database server is not reachable!,Le serveur de base de données n’est pas accessible!,Datenbankserver ist nicht erreichbar!,¡No se puede acceder al servidor de base de datos!,Il server di database non è raggiungibile!,?????? ??? ??? ? ????!,Serwer bazy danych jest nieosi?galny!,?????? ???? ?????? ??????????!,???????????
Delegates,Delegates,Délégués,Delegierte,Delegados,Delegati,???,Delegatów,????????,??
Delete,Delete,Supprimer,Löschen,Borrar,Cancellare,????,Usun??,???????,??
Delete Access Level,Delete Access Level,Supprimer le niveau d’accès,Zugriffsebene löschen,Eliminar nivel de acceso,Elimina livello di accesso,??? ?? ??,Usu? poziom dost?pu,??????? ??????? ???????,??????
Delgate Name,Delgate Name, Nom du délégué,Delgate-Name,Nombre Delgate,Nome Delgate,Delgate ??,Nazwa Delgate,???????? Delgate,??????
Deny,Deny, Refuser,Leugnen,Negar,Negare,????,Zaprzecza?,????????,??
Department,Department, Département,Abteilung,Departamento,Dipartimento,??,Dzia?,?????,??
Description,Description, Description,Beschreibung,Descripción,Descrizione,??,Opis,???????:__________,??
Discard Changes,Discard Changes, Annuler les modifications,Verwerfen von Änderungen,Descartar cambios,Ignora modifiche,?? ?? ??,Odrzu? zmiany,?????? ?????????,????
Display Name,Display Name, Nom d’affichage,Anzeigename,Nombre para mostrar,Nome visualizzato,?? ??,Nazwa wy?wietlana,???????????? ???,????
Edit,Edit, Modifier,Redigieren,Editar,Redigere,????,Redagowa?,?????????????,??
Email,Email, Email,E-Mail,Correo electrónico,E-mail,???,E-mail,????????? ?? ??????????? ?????,????
Email Address,Email Address, Adresse e-mail,E-Mail-Adresse,Dirección de correo electrónico,Indirizzo email,??? ??,Adres e-mail,????? ??????????? ?????,??????
Email Enabled,Email Enabled, Email activé,E-Mail aktiviert,Correo electrónico habilitado,Email abilitata,??? ??,Poczta e-mail w??czona,??????????? ????? ????????,???????
Email Settings,Email Settings, Paramètres de messagerie,E-Mail-Einstellungen,Configuración de correo electrónico,Impostazioni e-mail,??? ??,Ustawienia poczty e-mail,????????? ??????????? ?????,??????
Employee Id,Employee Id, Identifiant employé,Mitarbeiter-ID,ID del empleado,ID dipendente,?? ID,Identyfikator pracownika,????????????? ??????????,????
Enabled,Enabled, Activé,Ermöglichte,Habilitado,Abilitato,??,W??czone,???????,??
Field Name,Field Name, Nom du champ,Flurname,Nombre del campo,Nome campo,?? ??,Nazwa pola,??? ????,????
Field Type,Field Type, Type de champ,Feld-Typ,Tipo de campo,Tipo di campo,?? ??,Typ pola,??? ????,????
Fields,Fields, Champs,Felder,Campos,Campi,??,Pola,????,??
First Name,First Name, Prénom,Vorname,Nombre,Nome di battesimo,??,Imi?,???,??
Force Https,Force Https, Forcer Https,HTTPS erzwingen,Forzar HTTPS,Forza Https,Https ?? ??,Wymu? protokó? Https,?????????????? https,?? Https
FQDN,FQDN, FQDN,FQDN,FQDN,FQDN,FQDN?,FQDN,?????? ???????? ???,FQDN
From Address,From Address, Adresse de l’expéditeur,Von der Adresse,Dirección del remitente,Dall'indirizzo,?? ?? ??,Adres nadawcy,? ??????,?????
From Display Name,From Display Name, Nom d’affichage de l’expéditeur,Über den Anzeigenamen,Desde Nombre para mostrar,Da Nome visualizzato,?? ????,Z nazwy wy?wietlanej,?? ????????????? ?????,?????
Google Analytics ID,Google Analytics ID, ID Google Analytics,Google Analytics-ID,Google Analytics ID,Google Analytics ID,Google ????? ID,Identyfikator Google Analytics,????????????? Google Analytics,????ID
Group,Group, Groupe,Gruppe,Grupo,Gruppo,??,Grupa,??????,?
Group Name,Group Name, Nom du groupe,Name der Gruppe,Nombre del grupo,Nome del gruppo,?? ??,Nazwa grupy,???????? ??????,???
Groups,Groups, Groupes,Gruppen,Grupos,Gruppi,??,Grupy,??????,?
Home,Home, Accueil,Heim,Hogar,Casa,?,Dom,???,?
Home Directory,Home Directory, Répertoire d’accueil,Home-Verzeichnis,Directorio de inicio,Home Directory,? ????,Katalog domowy,???????? ???????,???
Home Drive,Home Drive, Lecteur d’accueil,Home Drive,Home Drive,Unità domestica,? ????,Dysk domowy,??????? ??????,?????
Home Phone,Home Phone, Téléphone d’accueil ,Telefon zu Hause,Teléfono residencial,Telefono di casa,? ??,Telefon domowy,???????? ???????,????
Homepage Message,Homepage Message, Message de la page d’accueil ,Homepage Nachricht,Mensaje de la página de inicio,Homepage Messaggio,???? ???,Wiadomo?? na stronie g?ównej,????????? ?? ??????? ????????,????
Impersonate User,Impersonate User, Usurper l’identité de l’utilisateur ,Sich als Benutzer ausgeben,Suplantar usuario,Impersonare l'utente,??? ??,Podszywanie si? pod u?ytkownika,?????? ???? ?? ????????????,????
Inherited Permissions,Inherited Permissions, Autorisations héritées ,Vererbte Berechtigungen,Permisos heredados,Autorizzazioni ereditate,??? ?? ??,Uprawnienia dziedziczone,?????????????? ??????????,?????
Job Title,Job Title, Titre du poste ,Berufsbezeichnung,Título del trabajo,Titolo di lavoro,??,Stanowisko,?????????,??
Last Name,Last Name, Nom de famille ,Nachname,Apellido,Cognome,?,Nazwisko,???????,?
levelValue.Name,levelValue.Name, levelValue.Name ,levelValue.Name,levelValue.Name,levelValue.Name,levelValue.Name,levelValue.Name,levelValue.Name,levelValue.Name
Log In,Log In, Connexion ,Anmelden,Inicia sesión,Accedi,???,Zaloguj si?,?????,??
Log In To Demo,Log In To Demo, Connexion à la démo ,Melden Sie sich bei der Demo an,Inicie sesión en la demostración,Accedi alla demo,??? ???,"Zaloguj si?, aby przej?? do wersji demonstracyjnej",????? ? ????????????,????
Logins,Logins, Connexions ,Anmeldungen,Logins,Account,???,Logowania,????? ?????,??
Main,Main, Principal ,Hauptsächlich,Principal,Principale,???,G?ówny,???????,??
Mappings,Mappings, Mappages ,Zuordnungen,Asignaciones,Mapping,???,Mapowania,?????????????,??
Middle Name,Middle Name, Deuxième prénom ,Zweitname,Segundo nombre,Secondo nome,?? ??,Drugie imi?,????????,???
Move,Move, Déplacer ,Bewegen,Mover,Sposta,????,Rusza?,?????????,??
Name,Name, Nom ,Name,Nombre,Nome,??,Nazwa,???,??
Office,Office, Bureau ,Büro,Oficina,Ufficio,???,Biuro,????,???
Online,Online, En ligne ,Online,En línea,In linea,???,Online,??????,??
Oops,Oops, Oups ,Hoppla,"Vaya,",Oops,??,Oops,??,??
Organization,Organization, Organisation ,Organisation,Organización,Organizzazione,??,Organizacja,???????????,??
OU,OU, OU ,ODER,OU,O,??,LUB,???,?
Password,Password, Mot de passe ,Passwort,Contraseña,Parola d’ordine,??,Has?o,??????,??
Permissions,Permissions, Autorisations ,Erlaubnisse,Permisos,Autorizzazioni,???,Uprawnienia,??????????,??
Please report to,Please report to, Veuillez signaler à ,Bitte melden Sie sich bei,"Por favor, informe a",Si prega di segnalare a,??? ???,Zg?o? si? do,??????? ???????? ?? ??????:,??
PO Box,PO Box, Boîte postale ,Postfach,Apartado de correos,Casella postale,???,Skrytka pocztowa,???????? ????,????
Port,Port, Port ,Hafen,Puerto,Porto,??,Port,????,??
Preferences,Preferences, Préférences ,Einstellungen,Preferencias,Preferenze,??,Preferencje,????????????,??
Profile,Profile, Profil ,Profil,Perfil,Profilo,??,Profil,???????,??
Profile Path,Profile Path, Chemin du profil ,Profil-Pfad,Ruta de acceso del perfil,Percorso del profilo,??? ??,?cie?ka profilu,???? ? ???????,??????
Profile Settings,Profile Settings, Paramètres du profil ,Profil-Einstellungen,Configuración del perfil,Impostazioni del profilo,??? ??,Ustawienia profilu,????????? ???????,??????
Recycle Bin,Recycle Bin, Corbeille de recyclage ,Papierkorb,Papelera de reciclaje,Cestino,???,Kosz,???????,???
Rename,Rename, Renommer ,Umbenennen,Rebautizar,Ribattezzare,?? ???,Przemianowa?,?????????????,???
Reply-To Address,Reply-To Address, Adresse de réponse à l’expéditeur ,Antwort-an-Adresse,Dirección de respuesta,Indirizzo per le risposte,?? ??,Adres zwrotny,????? ??? ??????,????
Reply-To Display Name,Reply-To Display Name, Nom d’affichage de réponse à l’expéditeur ,"Anzeigename ""Antwort an""",Nombre para mostrar de respuesta,Nome visualizzato per rispondere,?? ?? ??,Nazwa wy?wietlana odpowiedzi,???????????? ??? ??? ??????,??????
Require change,Require change, Exiger un changement,Änderungen erfordern,Requerir cambio,Richiedi modifica,?? ??,Wymagaj zmiany,????????? ?????????,????
Save,Save,Enregistrer,Retten,Salvar,Salvare,????,Zapisa?,???????,?
Save Changes,Save Changes, Enregistrer les modifications,Änderungen speichern,Guardar cambios,Salva modifiche,?? ?? ??,Zapisz zmiany,????????? ?????????,????
Script Path,Script Path, Chemin du script,Skript-Pfad,Ruta de acceso del script,Percorso di script,???? ??,?cie?ka skryptu,???? ? ????????,????
Server,Server, Serveur,Server,Servidor,Server,??,Serwer,??????,???
Session Timeout,Session Timeout, Délai d’expiration de la session,Zeitüberschreitung bei der Sitzung,Tiempo de espera de sesión,Timeout sessione,?? ?? ??,Limit czasu sesji,????-??? ??????,????
Settings,Settings, Paramètres,Einstellungen,Configuración,Impostazioni,??,Ustawienia,?????????,??
Sign Out,Sign Out, Se déconnecter,Abmelden,Cerrar sesión,Esci,????,Wyloguj si?,??????? ?? ???????,??
Site,Site, Site,Platz,Sitio,Sito,???,Miejsce,?????,??
SMTP Password,SMTP Password, Mot de passe SMTP,SMTP-Passwort,Contraseña SMTP,SMTP Password,SMTP ??,Has?o SMTP,?????? SMTP,????
SMTP Port,SMTP Port, Port SMTP,SMTP-Anschluss,Puerto SMTP,Porta SMTP,SMTP ??,SMTP Port,SMTP-????,????
SMTP Server,SMTP Server, Serveur SMTP,SMTP-Server,Servidor SMTP,SMTP Server,SMTP ??,Serwer SMTP,SMTP-??????,SMTP ???
SMTP Username,SMTP Username, Nom d’utilisateur SMTP,SMTP-Benutzername,Nombre de usuario SMTP,Nome utente SMTP,SMTP ??? ??,Nazwa u?ytkownika SMTP,??? ???????????? SMTP,?????
State,State, État,Zustand,Estado,Stato,??,Stan,???????????,?
